date,time,seconds_since_Epoch,tested,positive,deaths
2020-05-01,00:00:00,1588291200,2939109,319893,14729
2020-05-01,15:00:00,1588345200,2984168,325835,15013
2020-05-01,16:00:00,1588348800,4461585,716884,37827
2020-05-01,17:00:00,1588352400,5158584,880143,46686
2020-05-01,22:00:00,1588370400,6293343,1076191,58063
2020-05-01,23:00:00,1588374000,6447218,1086928,58498
2020-05-02,02:00:00,1588384800,6455083,1088998,58617
2020-05-02,03:00:00,1588388400,6559573,1096543,59008
2020-05-02,16:00:00,1588435200,6624938,1106837,59554
2020-05-02,18:00:00,1588442400,6673205,1112543,59911
2020-05-02,20:00:00,1588449600,6692610,1118454,60197
2020-05-02,21:00:00,1588453200,6693887,1118505,60205
2020-05-02,22:00:00,1588456800,6694073,1118506,60205
2020-05-03,00:00:00,1588464000,6845961,1126603,60694
2020-05-03,17:00:00,1588525200,6907230,1135593,60996
2020-05-03,18:00:00,1588528800,6910543,1136257,61017
2020-05-03,23:00:00,1588546800,6970482,1144479,61175
2020-05-04,03:00:00,1588561200,6978966,1144675,61187
2020-05-04,04:00:00,1588564800,7089884,1151777,61785
2020-05-04,14:00:00,1588600800,7104280,1153237,61797
2020-05-04,15:00:00,1588604400,7128190,1154663,61859
2020-05-04,16:00:00,1588608000,7140318,1158114,61926
2020-05-04,18:00:00,1588615200,7161717,1160652,62152
2020-05-04,19:00:00,1588618800,7186104,1162589,62227
2020-05-04,20:00:00,1588622400,7209994,1166949,62292
2020-05-04,23:00:00,1588633200,7217961,1167015,62299
2020-05-05,01:00:00,1588640400,7226297,1169509,62461
2020-05-05,02:00:00,1588644000,7320577,1172248,62713
2020-05-05,04:00:00,1588651200,7336699,1173735,62761
2020-05-05,15:00:00,1588690800,7381345,1175203,62860
2020-05-05,16:00:00,1588694400,7420963,1180046,63758
2020-05-05,17:00:00,1588698000,7436449,1182724,63897
2020-05-05,21:00:00,1588712400,7494200,1190638,64626
2020-05-05,22:00:00,1588716000,7500594,1191761,64707
2020-05-06,00:00:00,1588723200,7500594,1191835,64710
2020-05-06,01:00:00,1588726800,7500721,1193213,64788
2020-05-06,02:00:00,1588730400,7566458,1196204,65161
2020-05-06,14:00:00,1588773600,7576808,1198013,65202
2020-05-06,15:00:00,1588777200,7606132,1199100,65298
2020-05-06,19:00:00,1588791600,7642881,1205126,65927
2020-05-06,21:00:00,1588798800,7696051,1214177,66450
2020-05-06,22:00:00,1588802400,7702341,1214177,66658
2020-05-07,01:00:00,1588813200,7763094,1218495,67700
2020-05-07,04:00:00,1588824000,7847662,1220277,67832
2020-05-07,13:00:00,1588856400,7872712,1222031,67890
2020-05-07,17:00:00,1588870800,7908890,1228329,68388
2020-05-07,20:00:00,1588881600,8018192,1241352,69459
2020-05-07,22:00:00,1588888800,8027469,1241723,69470
2020-05-08,00:00:00,1588896000,8141418,1248508,69850
2020-05-08,13:00:00,1588942800,8156714,1249324,69896
2020-05-08,17:00:00,1588957200,8209055,1254687,70276
2020-05-08,18:00:00,1588960800,8240395,1258416,70483
2020-05-08,20:00:00,1588968000,8244602,1260489,70603
2020-05-08,23:00:00,1588978800,8309271,1266196,71096
2020-05-09,03:00:00,1588993200,8422874,1272360,71347
2020-05-09,15:00:00,1589036400,8458360,1275179,71473
2020-05-09,18:00:00,1589047200,8586874,1288587,72361
2020-05-10,02:00:00,1589076000,8646241,1296514,72789
2020-05-10,14:00:00,1589119200,8666579,1297819,72833
2020-05-10,16:00:00,1589126400,8710084,1303681,73062
2020-05-10,19:00:00,1589137200,8728269,1304662,73088
2020-05-10,21:00:00,1589144400,8842531,1313118,73501
2020-05-11,00:00:00,1589155200,8885860,1314920,73557
2020-05-11,02:00:00,1589162400,8893978,1315224,73568
2020-05-11,05:00:00,1589173200,9008216,1321243,74013
2020-05-11,14:00:00,1589205600,9054000,1323793,74082
2020-05-11,18:00:00,1589220000,9057467,1324121,74086
2020-05-11,19:00:00,1589223600,9089322,1327460,74271
2020-05-12,00:00:00,1589241600,9157227,1331551,74518
2020-05-12,01:00:00,1589245200,9200309,1333182,74600
2020-05-12,02:00:00,1589248800,9425534,1339095,74899
2020-05-12,03:00:00,1589252400,9457230,1341346,74899
2020-05-12,16:00:00,1589299200,9491065,1346036,75252
2020-05-12,17:00:00,1589302800,9500499,1346379,75296
2020-05-12,19:00:00,1589310000,9533946,1351593,75572
2020-05-13,00:00:00,1589328000,9727084,1362774,76479
2020-05-13,03:00:00,1589338800,9729137,1362846,76479
2020-05-13,14:00:00,1589378400,9729137,1362850,76484
2020-05-13,16:00:00,1589385600,9763006,1367247,76864
2020-05-13,18:00:00,1589392800,9775215,1368579,76956
2020-05-13,19:00:00,1589396400,9797484,1370650,77182
2020-05-14,01:00:00,1589418000,9903710,1374982,77575
2020-05-14,02:00:00,1589421600,9987354,1379914,78036
2020-05-14,04:00:00,1589428800,10035800,1383122,78185
2020-05-14,13:00:00,1589461200,10050565,1383488,78191
2020-05-14,17:00:00,1589475600,10118454,1390616,78711
2020-05-14,20:00:00,1589486400,10248580,1398491,79346
2020-05-14,23:00:00,1589497200,10290934,1401221,79572
2020-05-15,04:00:00,1589515200,10475965,1408877,80052
2020-05-15,05:00:00,1589518800,10478735,1408940,80055
2020-05-15,15:00:00,1589554800,10533887,1412490,80297
2020-05-15,17:00:00,1589562000,10569087,1416297,80612
2020-05-15,19:00:00,1589569200,10592871,1416794,80650
2020-05-16,03:00:00,1589598000,10779143,1429643,81385
2020-05-16,05:00:00,1589605200,10857062,1434582,81503
2020-05-16,16:00:00,1589644800,10929785,1440669,81764
2020-05-16,17:00:00,1589648400,10930642,1440883,81764
2020-05-16,18:00:00,1589652000,10931542,1441556,81811
2020-05-16,20:00:00,1589659200,11089985,1453594,82435
2020-05-16,22:00:00,1589666400,11169588,1458014,82675
2020-05-16,23:00:00,1589670000,11175270,1458510,82683
2020-05-17,00:00:00,1589673600,11176241,1458540,82683
2020-05-17,04:00:00,1589688000,11221882,1458871,82790
2020-05-17,15:00:00,1589727600,11273398,1461115,82853
2020-05-17,17:00:00,1589734800,11319411,1464479,83005
2020-05-17,20:00:00,1589745600,11405062,1472102,83232
2020-05-17,23:00:00,1589756400,11474721,1476065,83518
2020-05-18,02:00:00,1589767200,11474761,1476105,83522
2020-05-18,03:00:00,1589770800,11561503,1478794,83586
2020-05-18,13:00:00,1589806800,11579700,1479338,83590
2020-05-18,16:00:00,1589817600,11622864,1484241,83768
2020-05-18,17:00:00,1589821200,11627468,1484544,83784
2020-05-18,19:00:00,1589828400,11709933,1489557,83987
2020-05-19,00:00:00,1589846400,11799203,1492802,84101
2020-05-19,02:00:00,1589853600,11860682,1495403,84235
2020-05-19,04:00:00,1589860800,11943072,1498748,84393
2020-05-19,22:00:00,1589925600,12219625,1516739,85613
2020-05-20,02:00:00,1589940000,12311564,1520194,85815
2020-05-20,16:00:00,1589990400,12368797,1523104,85970
2020-05-20,17:00:00,1589994000,12379976,1524649,86056
2020-05-20,18:00:00,1589997600,12391137,1526035,86250
2020-05-20,20:00:00,1590004800,12474871,1531818,86654
2020-05-21,02:00:00,1590026400,12644720,1543033,87303
2020-05-21,15:00:00,1590073200,12663744,1545379,87431
2020-05-21,16:00:00,1590076800,12701168,1548254,87679
2020-05-22,02:00:00,1590112800,12888772,1558789,88207
2020-05-22,04:00:00,1590120000,13061974,1568105,88609
2020-05-22,05:00:00,1590123600,13066959,1568251,88616
2020-05-22,19:00:00,1590174000,13161646,1574385,88900
2020-05-22,20:00:00,1590177600,13241660,1579069,89125
2020-05-23,07:00:00,1590217200,13489415,1591326,89839
2020-05-23,21:00:00,1590267600,13709321,1605334,90531
2020-05-24,03:00:00,1590289200,13858709,1613767,90845
2020-05-24,19:00:00,1590346800,13950933,1619092,90995
2020-05-24,20:00:00,1590350400,13978532,1620653,91064
2020-05-25,00:00:00,1590364800,14026297,1622242,91173
2020-05-25,01:00:00,1590368400,14298705,1635424,91556
2020-05-25,17:00:00,1590426000,14343056,1637214,91614
2020-05-25,19:00:00,1590433200,14432732,1641872,91786
2020-05-26,00:00:00,1590451200,14526507,1646209,91886
2020-05-26,01:00:00,1590454800,14543530,1647205,91922
2020-05-26,06:00:00,1590472800,14606967,1648847,91937
2020-05-26,15:00:00,1590505200,14616057,1650094,91999
2020-05-26,18:00:00,1590516000,14666156,1652733,92166
2020-05-26,20:00:00,1590523200,14678907,1653934,92229
2020-05-26,21:00:00,1590526800,14720200,1656598,92359
2020-05-27,05:00:00,1590555600,14991589,1670617,92713
2020-05-27,19:00:00,1590606000,15007664,1671794,92794
2020-05-27,20:00:00,1590609600,15097023,1676577,93280
2020-05-27,21:00:00,1590613200,15215124,1679391,93463
2020-05-28,05:00:00,1590642000,15384759,1688481,94028
2020-05-28,17:00:00,1590685200,15393839,1689012,94069
2020-05-28,20:00:00,1590696000,15462722,1691134,94153
2020-05-29,06:00:00,1590732000,15555812,1696531,94580
2020-05-29,13:00:00,1590757200,15657304,1701018,94746
2020-05-29,14:00:00,1590760800,15665952,1703353,94786
2020-05-29,15:00:00,1590764400,15851230,1714485,95377
2020-05-29,16:00:00,1590768000,15880962,1716394,95539
2020-05-29,21:00:00,1590786000,15948303,1717945,95597
2020-05-30,03:00:00,1590807600,16079674,1727370,96005
2020-05-30,05:00:00,1590814800,16085749,1728907,96035
2020-05-30,06:00:00,1590818400,16171650,1734617,96466
2020-05-30,19:00:00,1590865200,16278491,1738696,96659
2020-05-31,02:00:00,1590890400,16283740,1739709,96725
2020-05-31,06:00:00,1590904800,16367703,1744312,96901
2020-05-31,07:00:00,1590908400,16562067,1754272,97338
2020-05-31,20:00:00,1590955200,16661476,1758754,97524
2020-06-01,01:00:00,1590973200,16853309,1767639,97751
2020-06-01,05:00:00,1590987600,16973615,1776491,98025
2020-06-01,16:00:00,1591027200,16983515,1777021,98027
2020-06-01,21:00:00,1591045200,17135609,1783216,98291
2020-06-02,04:00:00,1591070400,17148219,1784169,98331
2020-06-02,05:00:00,1591074000,17156582,1784461,98340
2020-06-02,06:00:00,1591077600,17333357,1796053,98716
2020-06-02,18:00:00,1591120800,17348879,1797147,98838
2020-06-02,19:00:00,1591124400,17458513,1808874,99253
2020-06-03,05:00:00,1591160400,17547234,1813770,99515
2020-06-03,06:00:00,1591164000,17726083,1822855,99827
2020-06-04,04:00:00,1591243200,18123046,1832888,100313
2020-06-04,05:00:00,1591246800,18305879,1842861,100847
2020-06-05,00:00:00,1591315200,18511878,1852612,101294
2020-06-05,01:00:00,1591318800,18514443,1852927,101294
2020-06-05,06:00:00,1591336800,18682888,1863731,101734
2020-06-05,18:00:00,1591380000,18756899,1868083,101943
2020-06-05,22:00:00,1591394400,18930077,1873095,102180
2020-06-06,04:00:00,1591416000,19063153,1878649,102319
2020-06-06,07:00:00,1591426800,19501102,1892645,102806
2020-06-08,00:00:00,1591574400,20096913,1915943,103456
2020-06-08,16:00:00,1591632000,20193146,1920800,103730
2020-06-08,20:00:00,1591646400,20252065,1923451,103818
2020-06-08,22:00:00,1591653600,20328283,1928374,103925
2020-06-09,03:00:00,1591671600,20329564,1928542,103927
2020-06-09,04:00:00,1591675200,20663338,1949905,104497
2020-06-09,23:00:00,1591743600,20871070,1958018,104822
2020-06-10,05:00:00,1591765200,20883494,1959014,104848
2020-06-10,06:00:00,1591768800,21077214,1966394,105329
2020-06-10,16:00:00,1591804800,21119358,1969781,105463
2020-06-10,21:00:00,1591822800,21181655,1970455,105519
2020-06-11,07:00:00,1591858800,21759503,1987973,106316
2020-06-11,23:00:00,1591916400,21826481,1992454,106460
2020-06-12,07:00:00,1591945200,22255824,2008936,107197
2020-06-12,17:00:00,1591981200,22354699,2013420,107363
2020-06-12,20:00:00,1591992000,22463693,2016786,107431
2020-06-13,06:00:00,1592028000,22649753,2021672,107592
2020-06-13,19:00:00,1592074800,22780383,2030194,107894
2020-06-14,06:00:00,1592114400,22978327,2036242,108021
2020-06-14,16:00:00,1592150400,23031303,2039725,108040
2020-06-14,17:00:00,1592154000,23047880,2040562,108066
2020-06-15,00:00:00,1592179200,23112524,2047171,108139
2020-06-15,01:00:00,1592182800,23236724,2051449,108186
2020-06-15,03:00:00,1592190000,23736351,2077898,108782
2020-06-15,23:00:00,1592262000,23927310,2085689,108908
2020-06-16,04:00:00,1592280000,23949573,2086108,108964
2020-06-16,05:00:00,1592283600,24277178,2098242,109237
2020-06-16,17:00:00,1592326800,24354261,2103812,109427
2020-06-17,00:00:00,1592352000,24402365,2110088,109541
2020-06-17,03:00:00,1592362800,24405241,2110365,109558
2020-06-17,05:00:00,1592370000,24423525,2110738,109611
2020-06-17,07:00:00,1592377200,24672372,2123206,109896
2020-06-17,17:00:00,1592413200,24764008,2129219,110035
2020-06-18,05:00:00,1592456400,25028585,2139105,110289
2020-06-18,17:00:00,1592499600,25105270,2144422,110417
2020-06-19,04:00:00,1592539200,25182187,2145391,110450
2020-06-19,05:00:00,1592542800,25231756,2151258,110563
2020-06-19,07:00:00,1592550000,25635658,2172608,111172
2020-06-19,21:00:00,1592600400,25851248,2179498,111341
2020-06-20,07:00:00,1592636400,26001068,2187318,111464
2020-06-20,20:00:00,1592683200,26127130,2195528,111635
2020-06-21,00:00:00,1592697600,26138858,2196143,111639
2020-06-21,01:00:00,1592701200,26787482,2235550,112320
2020-06-22,03:00:00,1592794800,27008176,2247945,112379
2020-06-22,05:00:00,1592802000,27101796,2249391,112412
2020-06-22,22:00:00,1592863200,27159696,2254428,112473
2020-06-23,04:00:00,1592884800,27317578,2262428,112523
2020-06-23,17:00:00,1592931600,27446332,2266863,112726
2020-06-23,22:00:00,1592949600,27646367,2277666,112945
2020-06-24,05:00:00,1592974800,27666476,2278904,112978
2020-06-24,06:00:00,1592978400,28089621,2321991,113601
2020-06-24,20:00:00,1593028800,28186081,2332989,113783
2020-06-25,04:00:00,1593057600,28312736,2340162,113783
2020-06-25,05:00:00,1593061200,28334276,2341458,113793
2020-06-25,06:00:00,1593064800,28540150,2357196,114133
2020-06-25,17:00:00,1593104400,28642767,2365178,114240
2020-06-25,20:00:00,1593115200,28662849,2367208,114257
2020-06-26,05:00:00,1593147600,28745259,2370211,114326
2020-06-26,06:00:00,1593151200,28973515,2387636,114645
2020-06-26,15:00:00,1593183600,28991197,2388964,114668
2020-06-26,21:00:00,1593205200,29144512,2402689,114795
2020-06-27,01:00:00,1593219600,29168824,2404231,114817
2020-06-27,02:00:00,1593223200,29683236,2441827,115403
2020-06-27,20:00:00,1593288000,29807383,2454682,115497
2020-06-28,23:00:00,1593385200,30164991,2480048,115671
2020-06-29,02:00:00,1593396000,30774377,2525100,117021
2020-06-30,13:00:00,1593522000,31131419,2560051,117182
2020-06-30,15:00:00,1593529200,31217952,2562861,117281
2020-07-01,06:00:00,1593583200,31682410,2587350,117644
2020-07-01,19:00:00,1593630000,31734668,2590926,117728
2020-07-01,21:00:00,1593637200,32208455,2629622,118190
2020-07-02,05:00:00,1593666000,32562950,2665562,118531
2020-07-02,16:00:00,1593705600,32606157,2669677,118598
2020-07-03,13:00:00,1593781200,32835910,2693361,118792
2020-07-03,21:00:00,1593810000,33501206,2741840,119552
2020-07-05,05:00:00,1593925200,34129993,2812647,120045
2020-07-05,20:00:00,1593979200,34342794,2819516,120085
2020-07-06,01:00:00,1593997200,34350497,2820311,120090
2020-07-06,13:00:00,1594040400,34881790,2857282,120320
2020-07-07,05:00:00,1594098000,35400620,2902675,120475
2020-07-07,17:00:00,1594141200,35499121,2910885,120606
2020-07-07,21:00:00,1594155600,35763913,2928894,120829
2020-07-07,22:00:00,1594159200,36029670,2948822,120992
2020-07-09,05:00:00,1594270800,36814497,3028136,122097
2020-07-09,22:00:00,1594332000,36912009,3036361,122211
2020-07-10,01:00:00,1594342800,36952115,3039052,122256
2020-07-10,06:00:00,1594360800,37229905,3072509,122814
2020-07-11,04:00:00,1594440000,37410526,3088456,123006
2020-07-11,05:00:00,1594443600,38272827,3156492,123836
2020-07-12,14:00:00,1594562400,38712633,3199686,124343
2020-07-12,17:00:00,1594573200,38811341,3214986,124388
2020-07-13,03:00:00,1594609200,39263746,3246203,124717
2020-07-13,20:00:00,1594670400,39474986,3266959,124848
2020-07-13,21:00:00,1594674000,39630974,3279064,124899
2020-07-14,05:00:00,1594702800,39786079,3289061,124927
2020-07-14,22:00:00,1594764000,40125089,3326015,125383
2020-07-15,21:00:00,1594846800,40442188,3359684,125923
2020-07-16,04:00:00,1594872000,40492884,3362518,125938
2020-07-16,06:00:00,1594879200,41781294,3459410,126839
2020-07-17,01:00:00,1594947600,42066282,3480150,126981
2020-07-17,04:00:00,1594958400,42548985,3525066,127573
2020-07-17,22:00:00,1595023200,42689947,3542430,127727
2020-07-18,22:00:00,1595109600,42834260,3567861,128004
2020-07-19,01:00:00,1595120400,42854989,3579895,128149
2020-07-20,00:00:00,1595203200,44681057,3719214,129831
2020-07-20,21:00:00,1595278800,44937881,3738014,129880
2020-07-21,02:00:00,1595296800,44978537,3739918,129896
2020-07-21,06:00:00,1595311200,45479157,3774069,130239
2020-07-22,04:00:00,1595390400,45644387,3785550,130406
2020-07-22,05:00:00,1595394000,46427916,3865348,131454
2020-07-23,03:00:00,1595473200,46604000,3877648,131620
2020-07-23,07:00:00,1595487600,47054796,3921712,132350
2020-07-24,07:00:00,1595574000,47951947,3979891,133274
2020-07-25,07:00:00,1595660400,48640921,4038670,134242
2020-07-26,07:00:00,1595746800,49194154,4086930,134975
2020-07-27,01:00:00,1595811600,49345624,4097441,135035
2020-07-27,05:00:00,1595826000,49906997,4141128,135522
2020-07-28,05:00:00,1595912400,50160011,4165176,136327
2020-07-28,06:00:00,1595916000,51430534,4252565,137389
2020-07-29,03:00:00,1595991600,51579539,4263649,137550
2020-07-29,04:00:00,1595995200,52043783,4302214,138337
2020-07-29,21:00:00,1596056400,52188145,4311398,138493
2020-07-30,05:00:00,1596085200,52837309,4363660,139744
2020-07-31,04:00:00,1596168000,53080397,4386862,139931
2020-07-31,05:00:00,1596171600,53319193,4412883,140647
2020-08-01,05:00:00,1596258000,53967772,4456996,141690
2020-08-02,15:00:00,1596380400,54167244,4482061,142149
2020-08-03,00:00:00,1596412800,54482924,4505175,142200
2020-08-03,01:00:00,1596416400,55901891,4621780,144152
2020-08-04,01:00:00,1596502800,56426129,4655655,144588
2020-08-05,04:00:00,1596600000,56533262,4662578,144742
2020-08-05,07:00:00,1596610800,56832333,4685984,145493
2020-08-06,01:00:00,1596675600,57074314,4704114,145679
2020-08-06,06:00:00,1596693600,57268599,4725041,146514
2020-08-07,01:00:00,1596762000,57390385,4735948,146722
2020-08-07,05:00:00,1596776400,58586680,4830198,148578
2020-08-08,04:00:00,1596859200,58994730,4869492,149509
2020-08-10,06:00:00,1597039200,59872441,4944048,150797
2020-08-11,05:00:00,1597122000,60441649,4970713,151115
2020-08-12,07:00:00,1597215600,60918442,5014160,152098
2020-08-13,03:00:00,1597287600,61019153,5022934,152310
2020-08-13,04:00:00,1597291200,62479139,5144023,154760
2020-08-14,05:00:00,1597381200,63043982,5177524,155567
2020-08-15,03:00:00,1597460400,63571783,5216588,156569
2020-08-16,01:00:00,1597539600,63960954,5245402,157351
2020-08-17,06:00:00,1597644000,64426651,5279854,157873
2020-08-18,07:00:00,1597734000,64909286,5312017,158201
2020-08-19,04:00:00,1597809600,65257997,5336662,158981
2020-08-20,07:00:00,1597906800,65827354,5369638,160129
2020-08-21,06:00:00,1597989600,66180138,5399107,160915
2020-08-22,08:00:00,1598083200,66317995,5406126,161090
2020-08-23,06:00:00,1598162400,66432787,5412382,161204
2020-08-24,06:00:00,1598248800,69899817,5645407,165914
2020-08-25,06:00:00,1598335200,70020343,5649455,165980
2020-08-25,16:00:00,1598371200,70169681,5662179,166278
2020-08-26,05:00:00,1598418000,70409672,5676758,166747
2020-08-27,02:00:00,1598493600,70684820,5705061,167461
2020-08-28,04:00:00,1598587200,70925405,5726229,168180
2020-08-29,21:00:00,1598734800,71099778,5742266,168385
2020-08-31,06:00:00,1598853600,71755051,5790315,169502
2020-09-01,03:00:00,1598929200,76044798,5968437,174673
2020-09-02,07:00:00,1599030000,76448490,5992267,175033
2020-09-03,05:00:00,1599109200,76713191,6010815,175904
2020-09-04,06:00:00,1599199200,76945618,6030487,176564
2020-09-05,04:00:00,1599278400,77313339,6051453,177120
2020-09-07,05:00:00,1599454800,77959736,6086511,177782
2020-09-08,04:00:00,1599537600,78201309,6097554,177871
2020-09-10,06:00:00,1599717600,78542406,6117451,178573
2020-09-11,07:00:00,1599807600,78813908,6137966,179373
2020-09-12,02:00:00,1599876000,79540262,6155379,179960
2020-09-13,08:00:00,1599984000,79863430,6173480,180470
2020-09-14,05:00:00,1600059600,80131860,6187528,180648
2020-09-15,04:00:00,1600142400,85943222,6443338,185386
2020-09-16,04:00:00,1600228800,86210798,6458204,185844
2020-09-17,17:00:00,1600362000,86483525,6479599,186566
2020-09-18,04:00:00,1600401600,86635405,6493221,186981
2020-09-21,06:00:00,1600668000,87616302,6540369,187946
2020-09-22,04:00:00,1600747200,91423764,6729060,190598
2020-09-23,03:00:00,1600830000,91709215,6756197,190935
